Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion
Public Class,org.apache.xerces.dom.AttrImpl,16,46,91
Public Class,org.apache.xerces.dom.DocumentImpl,30,46,87
Public Class,org.apache.xerces.impl.XMLEntityManager,61,45,95
Public Class,org.apache.xerces.parsers.AbstractDOMParser,67,45,87
Public Class,org.apache.xerces.dom.ElementImpl,18,43,79
Public Class,org.apache.xerces.impl.XMLDTDScannerImpl,25,43,90
Public Class,org.apache.xerces.impl.xs.XSComplexTypeDecl,18,43,91
Public Class,org.apache.xerces.impl.xs.traversers.XSDHandler,77,43,94
Public Class,org.apache.xerces.dom.ASModelImpl,13,40,91
Public Class,org.apache.xerces.impl.xs.XMLSchemaLoader,68,40,91
Public Class,sax.DocumentTracer,22,39,92
Class,org.apache.xerces.impl.xpath.regex.ParserForXMLSchema,8,38,97
Public Class,org.apache.html.dom.HTMLInputElementImpl,4,38,100
Public Class,org.apache.xerces.impl.xs.opti.DefaultNode,6,38,0
Public Class,org.apache.html.dom.HTMLTableElementImpl,11,37,96
Public Class,org.apache.xerces.parsers.XML11Configuration,49,36,95
Public Class,org.apache.html.dom.HTMLObjectElementImpl,4,35,100
Public Class,org.apache.xerces.parsers.XML11DTDConfiguration,47,35,94
Public Class,org.apache.xerces.parsers.XML11NonValidatingConfiguration,41,35,94
Public Abstract Class,org.apache.xerces.dom.ParentNode,12,34,80
Public Class,org.apache.xerces.impl.xs.XSElementDecl,16,34,92
Public Class,org.apache.html.dom.HTMLDocumentImpl,29,33,95
Public Class,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl,33,33,92
Public Class,org.apache.xerces.impl.XMLNamespaceBinder,17,33,87
Public Abstract Class,org.apache.xerces.impl.dv.xs.AbstractDateTimeDV,17,32,98
Public Class,org.apache.xerces.dom.DOMNormalizer,67,32,92
Public Class,org.apache.xerces.impl.xs.opti.DefaultDocument,14,32,93
Public Class,org.apache.html.dom.HTMLTableCellElementImpl,3,31,100
Public Abstract Class,org.apache.xerces.impl.XMLScanner,24,30,92
Public Class,org.apache.xerces.impl.XMLEntityScanner,18,30,74
Public Class,org.apache.xerces.impl.xs.XSConstraints,31,30,96
Protected Class,org.apache.xerces.dom.DOMNormalizer.XMLAttributesProxy,15,29,83
Public Abstract Class,org.apache.xerces.parsers.DTDParser,9,29,100
Public Class,org.apache.xerces.dom.NamedNodeMapImpl,7,29,83
Public Class,sax.Writer,25,29,92
Public Class,org.apache.xerces.dom.DOMConfigurationImpl,35,28,93
Public Interface,org.apache.xerces.xni.XMLAttributes,3,28,0
Class,org.apache.xerces.jaxp.UnparsedEntityHandler,8,27,73
Class,org.apache.xerces.jaxp.validation.DOMResultAugmentor,34,27,90
Class,org.apache.xerces.jaxp.validation.DOMResultBuilder,40,27,88
Public Class,org.apache.html.dom.HTMLAnchorElementImpl,2,27,100
Public Class,org.apache.html.dom.HTMLImageElementImpl,2,27,100
Public Class,org.apache.xerces.impl.xs.opti.ElementImpl,6,26,84
Public Class,org.apache.xerces.impl.xs.opti.SchemaDOM,16,26,85
Public Class,org.apache.wml.dom.WMLInputElementImpl,2,25,100
Public Class,org.apache.xerces.dom.TreeWalkerImpl,8,25,81
Public Class,org.apache.html.dom.HTMLSelectElementImpl,6,24,95
Public Class,org.apache.xerces.xpointer.XPointerHandler,23,24,85
Class,org.apache.xerces.impl.xpath.regex.Op,11,23,89
Public Class,org.apache.html.dom.HTMLAppletElementImpl,2,23,100
Public Class,org.apache.html.dom.HTMLElementImpl,8,23,100
Public Class,org.apache.html.dom.HTMLTextAreaElementImpl,2,23,100
Public Class,org.apache.wml.dom.WMLImgElementImpl,2,23,100
Public Class,org.apache.xerces.impl.xs.opti.SchemaDOMParser,24,23,81
Public Class,org.apache.xerces.parsers.DTDConfiguration,33,23,94
Public Class,org.apache.xml.serialize.XMLSerializer,35,23,88
Public Class,sax.helpers.AttributesImpl,3,23,76
Public Class,xni.Writer,24,23,88
Class,org.apache.xerces.jaxp.TeeXMLDocumentFilterImpl,9,22,42
Public Abstract Class,org.apache.xerces.parsers.BasicParserConfiguration,18,22,91
Public Abstract Class,xni.parser.AbstractConfiguration,19,22,89
Public Class,org.apache.xerces.dom.DocumentTypeImpl,9,22,86
Public Class,org.apache.xerces.impl.xs.XSDeclarationPool,8,22,87
Public Class,org.apache.xerces.impl.xs.opti.DefaultElement,5,22,0
Public Class,org.apache.xerces.parsers.NonValidatingConfiguration,29,22,95
Public Class,org.apache.xerces.util.AttributesProxy,8,22,0
Public Class,org.apache.xerces.util.XMLCatalogResolver,13,22,84
Public Interface,org.apache.xerces.xni.XMLDTDHandler,7,22,100
Protected Abstract Class,org.apache.xerces.impl.xs.XMLSchemaValidator.ValueStoreBase,12,21,82
Public Abstract Class,org.apache.xerces.impl.xs.identity.IdentityConstraint,11,21,86
Public Class,org.apache.html.dom.HTMLIFrameElementImpl,2,21,100
Public Class,org.apache.html.dom.HTMLTableRowElementImpl,10,21,95
Public Class,org.apache.wml.dom.WMLSelectElementImpl,2,21,100
Public Class,org.apache.xerces.dom.DOMInputImpl,3,21,79
Public Class,org.apache.xerces.dom.PSVIElementNSImpl,16,21,91
Public Class,org.apache.xerces.impl.dtd.XMLDTDLoader,27,21,84
Public Class,org.apache.xerces.impl.validation.ValidationState,6,21,84
Public Class,org.apache.xerces.impl.xs.XSWildcardDecl,11,21,80
Public Class,org.apache.xerces.impl.xs.util.SimpleLocator,1,21,80
Public Class,org.apache.xerces.parsers.DOMParserImpl,40,21,89
Public Class,org.apache.xerces.util.XMLChar,2,21,91
Public Class,org.apache.xml.serialize.DOMSerializerImpl,55,21,83
Protected Static Class,org.apache.xerces.parsers.AbstractSAXParser.AttributesProxy,7,20,0
Public Interface,org.apache.wml.WMLInputElement,1,20,0
Public Interface,org.apache.xerces.dom3.as.ASModel,10,20,0
Class,org.apache.xerces.impl.xs.traversers.SchemaContentHandler,20,19,81
Public Class,org.apache.html.dom.HTMLFormElementImpl,4,19,94
Public Class,org.apache.html.dom.HTMLLinkElementImpl,2,19,100
Public Class,org.apache.wml.dom.WMLCardElementImpl,2,19,100
Public Class,org.apache.xerces.dom.TextImpl,6,19,100
Public Class,org.apache.xerces.impl.XMLErrorReporter,15,19,90
Public Class,xni.PassThroughFilter,10,19,50
Public Interface,org.apache.xerces.xni.parser.XMLParserConfiguration,11,19,0
Public Interface,org.apache.xerces.xs.XSSimpleTypeDefinition,3,19,100
Public Static Class,org.apache.xerces.impl.xs.SchemaGrammar.Schema4Annotations,27,19,0
Static Class,org.apache.xerces.impl.dv.xs.AbstractDateTimeDV.DateTimeData,5,19,81
Class,org.apache.xerces.impl.xpath.regex.RangeToken,9,18,79
Class,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser,43,18,78
Public Class,org.apache.xerces.dom.EntityImpl,2,18,90
Public Class,org.apache.xerces.dom.PSVIAttrNSImpl,14,18,89
Public Class,org.apache.xerces.impl.xs.XSDDescription,4,18,89
Public Class,org.apache.xerces.util.XMLResourceIdentifierImpl,2,18,66
Public Class,org.apache.xml.serialize.HTMLSerializer,22,18,79
Public Class,org.apache.xml.serialize.Printer,6,18,64
Public Interface,org.apache.wml.WMLImgElement,1,18,0
Public Interface,org.apache.xerces.xni.XMLDocumentHandler,10,18,0
Public Interface,org.apache.xerces.xs.XSElementDeclaration,8,18,0
Public Abstract Class,org.apache.xerces.dom.CharacterDataImpl,7,17,78
Public Class,jaxp.TypeInfoWriter,29,17,85
Public Class,org.apache.html.dom.HTMLAreaElementImpl,2,17,100
Public Class,org.apache.html.dom.HTMLFrameElementImpl,2,17,100
Public Class,org.apache.xerces.impl.xs.ElementPSVImpl,12,17,88
Public Class,org.apache.xerces.impl.xs.XSAttributeDecl,11,17,85
Public Class,org.apache.xerces.impl.xs.XSModelGroupImpl,9,17,75
Public Class,org.apache.xerces.impl.xs.XSParticleDecl,8,17,80
Public Class,org.apache.xerces.jaxp.SAXParserImpl,41,17,86
Public Class,org.apache.xerces.parsers.XMLGrammarPreparser,20,17,86
Public Class,org.apache.xml.serialize.IndentPrinter,6,17,58
Public Class,org.apache.xml.serialize.TextSerializer,11,17,0
Public Static Class,org.apache.xerces.jaxp.SAXParserImpl.JAXPSAXParser,22,17,74
Class,org.apache.xerces.jaxp.validation.SoftReferenceGrammarPool,10,16,77
Class,org.apache.xerces.xpointer.ElementSchemePointer,15,16,81
Private Static Class,org.apache.xerces.jaxp.validation.ValidatorHandlerImpl.XMLSchemaTypeInfoProvider,15,16,64
Public Class,org.apache.xerces.dom.AttributeMap,10,16,100
Public Class,org.apache.xerces.dom.CoreDOMImplementationImpl,29,16,89
Public Class,org.apache.xerces.dom.ElementNSImpl,14,16,81
Public Class,org.apache.xerces.impl.xpath.regex.REUtil,11,16,93
Public Class,org.apache.xerces.impl.xs.XSModelImpl,27,16,78
Public Class,org.apache.xerces.jaxp.DocumentBuilderImpl,41,16,85
Public Class,org.apache.xerces.util.JAXPNamespaceContextWrapper,6,16,75
Public Class,org.apache.xerces.xni.parser.XMLInputSource,4,16,70
Public Class,org.apache.xml.serialize.HTMLdtd,12,16,93
Public Interface,org.apache.wml.WMLSelectElement,1,16,0
Public Interface,org.apache.xerces.dom3.as.ASElementDeclaration,5,16,100
Class,org.apache.xerces.jaxp.JAXPValidatorComponent,18,15,87
Public Class,org.apache.html.dom.HTMLOptionElementImpl,7,15,100
Public Class,org.apache.html.dom.HTMLScriptElementImpl,6,15,100
Public Class,org.apache.html.dom.HTMLTableSectionElementImpl,6,15,93
Public Class,org.apache.wml.dom.WMLDoElementImpl,2,15,100
Public Class,org.apache.wml.dom.WMLMetaElementImpl,2,15,100
Public Class,org.apache.xerces.impl.XML11DocumentScannerImpl,15,15,90
Public Class,org.apache.xerces.impl.xs.opti.SchemaParsingConfig,32,15,92
Public Class,org.apache.xerces.parsers.DOMParser,29,15,89
Static Class,org.apache.xerces.impl.dv.xs.DecimalDV.XDecimal,10,15,61
Class,org.apache.xerces.jaxp.validation.ValidatorImpl,27,14,75
Class,org.apache.xerces.jaxp.validation.XMLSchemaValidatorComponentManager,27,14,81
Class,org.apache.xerces.xpointer.ShortHandPointer,11,14,80
Public Class,org.apache.xerces.dom.AttrNSImpl,7,14,82
Public Class,org.apache.xerces.impl.XML11DTDScannerImpl,12,14,92
Public Class,org.apache.xerces.impl.XMLDocumentScannerImpl,29,14,91
Public Class,org.apache.xerces.impl.XMLEntityManager.ScannedEntity,11,14,88
Public Class,org.apache.xerces.impl.io.UTF8Reader,9,14,75
Public Class,org.apache.xerces.impl.xs.AttributePSVImpl,8,14,85
Public Class,org.apache.xerces.impl.xs.XSAttributeGroupDecl,18,14,80
Public Class,org.apache.xerces.util.XML11Char,3,14,86
Public Class,org.apache.xerces.util.XMLGrammarPoolImpl,6,14,70
Public Class,xni.Counter,22,14,83
Public Interface,org.apache.wml.WMLCardElement,1,14,0
Public Interface,org.apache.xerces.xni.XMLDocumentFragmentHandler,9,14,0
Public Interface,org.apache.xerces.xs.datatypes.XSDateTime,3,14,0
Public Static Class,org.apache.xerces.impl.xs.SchemaGrammar.BuiltinSchemaGrammar,21,14,0
Class,org.apache.xerces.impl.dtd.BalancedDTDGrammar,8,13,58
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.ValidationContextImpl,2,13,50
Class,org.apache.xerces.jaxp.validation.DOMValidatorHelper,44,13,85
Public Class,org.apache.html.dom.HTMLBodyElementImpl,2,13,100
Public Class,org.apache.html.dom.HTMLTableColElementImpl,2,13,100
Public Class,org.apache.wml.dom.WMLGoElementImpl,2,13,100
Public Class,org.apache.wml.dom.WMLOptionElementImpl,2,13,100
Public Class,org.apache.wml.dom.WMLTableElementImpl,2,13,100
Public Class,org.apache.xerces.dom.NodeIteratorImpl,5,13,71
Public Class,org.apache.xerces.impl.XML11EntityScanner,12,13,0
Public Class,org.apache.xerces.impl.xs.XSAttributeUseImpl,9,13,80
Public Class,org.apache.xerces.impl.xs.models.XSDFACM,20,13,80
Public Class,org.apache.xerces.jaxp.validation.XMLSchemaFactory,48,13,75
Public Class,org.apache.xerces.parsers.DOMASBuilderImpl,21,13,92
Public Class,org.apache.xerces.parsers.XMLGrammarCachingConfiguration,19,13,89
Public Class,org.apache.xerces.xinclude.MultipleScopeNamespaceSupport,5,13,23
Public Class,sax.Counter,20,13,85
Public Class,ui.TreeView,49,13,84
Public Interface,org.apache.xerces.dom3.as.ElementEditAS,4,13,0
Public Interface,org.apache.xerces.xni.grammars.XMLGrammarLoader,9,13,0
Class,org.apache.xerces.impl.xs.traversers.XSDocumentInfo,13,12,85
Class,org.apache.xerces.jaxp.validation.DOMValidatorHelper.DOMNamespaceContext,11,12,77
Private Static Class,org.apache.xerces.impl.xs.SchemaGrammar.XSAnyType,12,12,0
Public Class,dom.Writer,21,12,85
Public Class,jaxp.InlineSchemaValidator,35,12,85
Public Class,org.apache.html.dom.HTMLButtonElementImpl,4,12,100
Public Class,org.apache.xerces.impl.dtd.models.CMStateSet,3,12,21
Public Class,org.apache.xerces.impl.xpath.regex.Match,5,12,61
Public Class,org.apache.xerces.impl.xs.opti.DefaultText,2,12,0
Public Class,org.apache.xerces.util.NamespaceSupport,5,12,51
Public Class,org.apache.xerces.util.SAXInputSource,5,12,54
Public Class,org.apache.xerces.util.SAXLocatorWrapper,3,12,62
Public Class,org.apache.xml.serialize.XML11Serializer,19,12,100
Public Interface,org.apache.xerces.dom3.as.ASObject,2,12,100
Public Interface,org.apache.xerces.xni.XMLDTDContentModelHandler,4,12,100
Public Interface,org.apache.xerces.xs.ItemPSVI,6,12,100
Static Class,org.apache.xerces.impl.dv.xs.PrecisionDecimalDV.XPrecisionDecimal,5,12,70
Abstract Class,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,40,11,86
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.(Anon_1),1,11,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.(Anon_4),1,11,0
Private Class,org.apache.xerces.jaxp.JAXPValidatorComponent.XNI2SAX,12,11,68
Private Class,org.apache.xerces.xpointer.ElementSchemePointer.Tokens,8,11,80
Protected Class,org.apache.xerces.impl.XMLEntityManager.RewindableInputStream,4,11,57
Public Class,org.apache.wml.dom.WMLAElementImpl,2,11,100
Public Class,org.apache.wml.dom.WMLElementImpl,3,11,100
Public Class,org.apache.wml.dom.WMLPElementImpl,2,11,100
Public Class,org.apache.wml.dom.WMLTemplateElementImpl,2,11,100
Public Class,org.apache.xerces.dom.DOMLocatorImpl,2,11,63
Public Class,org.apache.xerces.dom.PSVIDocumentImpl,17,11,100
Public Class,org.apache.xerces.impl.xs.traversers.XSAttributeChecker,35,11,95
Public Class,org.apache.xerces.util.XMLStringBuffer,2,11,63
Public Class,org.apache.xerces.xinclude.XIncludeTextReader,26,11,74
Public Class,simpletype.SimpleTypeUsage,16,11,96
Public Interface,org.apache.xerces.dom3.as.ASContentModel,3,11,100
Public Interface,org.apache.xerces.impl.dv.ValidationContext,1,11,0
Public Interface,org.apache.xerces.xs.XSModel,11,11,0
Public Static Class,socket.KeepSocketOpen.Client,18,11,79
Static Class,ui.DOMTree.Model,10,11,72
Class,org.apache.html.dom.SecuritySupport,10,10,90
Class,org.apache.xerces.dom.SecuritySupport,10,10,90
Class,org.apache.xerces.impl.dv.SecuritySupport,10,10,90
Class,org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser,27,10,75
Class,org.apache.xerces.parsers.SecuritySupport,10,10,90
Class,org.apache.xerces.xinclude.SecuritySupport,10,10,90
Class,org.apache.xml.serialize.SecuritySupport,10,10,90
Class,xni.SecuritySupport,10,10,90
Private Static Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.XSFacetImpl,6,10,77
Private Static Class,org.apache.xerces.impl.xpath.XPath.Tokens,8,10,80
Protected Class,org.apache.xerces.impl.xs.XMLSchemaValidator.ValueStoreCache,17,10,65
Public Abstract Class,org.apache.xerces.impl.dv.xs.TypeValidator,3,10,100
Public Class,org.apache.html.dom.HTMLBuilder,15,10,65
Public Class,org.apache.xerces.dom.DOMErrorImpl,5,10,81
Public Class,org.apache.xerces.dom.events.EventImpl,3,10,87
Public Class,org.apache.xerces.impl.dtd.XMLContentSpec,1,10,91
Public Class,org.apache.xerces.impl.io.ASCIIReader,7,10,65
Public Class,org.apache.xerces.impl.io.UCSReader,4,10,76
Public Class,org.apache.xerces.impl.xs.XSLoaderImpl,14,10,30
Public Class,org.apache.xerces.util.ErrorHandlerWrapper,8,10,50
Public Class,org.apache.xerces.util.ParserConfigurationSettings,6,10,75
Public Class,org.apache.xerces.util.SymbolTable,4,10,63
Public Class,org.apache.xerces.util.XMLEntityDescriptionImpl,2,10,40
Public Class,org.apache.xerces.xni.QName,2,10,44
Public Class,org.apache.xerces.xni.parser.XMLParseException,3,10,65
Public Interface,org.apache.wml.WMLDoElement,1,10,0
Public Interface,org.apache.wml.WMLMetaElement,1,10,0
Public Interface,org.apache.xerces.dom3.as.ASAttributeDeclaration,3,10,100
Public Interface,org.apache.xerces.dom3.as.DocumentAS,5,10,0
Public Interface,org.apache.xerces.xni.XMLResourceIdentifier,1,10,0
Public Interface,org.apache.xerces.xs.XSAttributeDeclaration,7,10,0
Public Interface,org.apache.xerces.xs.XSComplexTypeDefinition,4,10,100
Public Interface,org.apache.xerces.xs.XSNamespaceItem,10,10,0
Public Static Class,ui.DOMTreeFull.Model,8,10,77
Class,org.apache.html.dom.HTMLCollectionImpl,18,9,84
Class,org.apache.xerces.jaxp.validation.EmptyXMLSchema,3,9,88
Class,org.apache.xerces.jaxp.validation.SimpleXMLSchema,3,9,80
Class,org.apache.xerces.util.ErrorHandlerWrapper.createXMLParseException.(Anon_1),2,9,0
Private Class,org.apache.xerces.jaxp.JAXPValidatorComponent.SAX2XNI,12,9,88
Private Class,org.apache.xerces.xpointer.XPointerHandler.Tokens,8,9,81
Protected Static Class,org.apache.xerces.impl.xs.XMLSchemaValidator.XPathMatcherStack,3,9,48
Public Abstract Class,org.apache.xerces.impl.dtd.models.CMNode,1,9,82
Public Class,dom.wrappers.Xerces,13,9,66
Public Class,jaxp.SourceValidator,29,9,82
Public Class,org.apache.html.dom.HTMLHRElementImpl,2,9,100
Public Class,org.apache.html.dom.HTMLMetaElementImpl,2,9,100
Public Class,org.apache.html.dom.HTMLParamElementImpl,2,9,100
Public Class,org.apache.wml.dom.WMLAccessElementImpl,2,9,100
Public Class,org.apache.wml.dom.WMLAnchorElementImpl,2,9,100
Public Class,org.apache.wml.dom.WMLFieldsetElementImpl,2,9,100
Public Class,org.apache.wml.dom.WMLOptgroupElementImpl,2,9,100
Public Class,org.apache.wml.dom.WMLPostfieldElementImpl,2,9,100
Public Class,org.apache.wml.dom.WMLSetvarElementImpl,2,9,100
Public Class,org.apache.wml.dom.WMLTimerElementImpl,2,9,100
Public Class,org.apache.xerces.dom.DOMOutputImpl,3,9,77
Public Class,org.apache.xerces.dom.EntityReferenceImpl,9,9,85
Public Class,org.apache.xerces.dom.NotationImpl,6,9,82
Public Class,org.apache.xerces.impl.dtd.XMLDTDDescription,3,9,33
Public Class,org.apache.xerces.impl.dtd.models.CMAny,4,9,55
Public Class,org.apache.xerces.impl.dtd.models.CMLeaf,6,9,38
Public Class,org.apache.xerces.impl.validation.ConfigurableValidationState,1,9,44
Public Class,org.apache.xerces.impl.xpath.XPath,19,9,81
Public Class,org.apache.xerces.impl.xs.SubstitutionGroupHandler,11,9,80
Public Class,org.apache.xerces.impl.xs.XSAnnotationImpl,17,9,61
Public Class,org.apache.xerces.impl.xs.identity.XPathMatcher,18,9,72
Public Class,org.apache.xerces.impl.xs.models.CMBuilder,16,9,68
Public Class,org.apache.xerces.impl.xs.models.XSCMLeaf,4,9,55
Public Class,org.apache.xerces.impl.xs.opti.AttrImpl,4,9,72
Public Class,org.apache.xerces.impl.xs.opti.NamedNodeMapImpl,4,9,44
Public Class,org.apache.xerces.impl.xs.opti.NodeImpl,1,9,77
Public Class,org.apache.xerces.jaxp.DocumentBuilderFactoryImpl,17,9,60
Public Class,org.apache.xerces.util.DOMErrorHandlerWrapper,13,9,68
Public Class,org.apache.xerces.util.HTTPInputSource,8,9,72
Public Class,org.apache.xerces.util.SymbolHash,1,9,29
Public Class,org.apache.xerces.xni.XMLString,1,9,33
Public Class,socket.DelayedInput,18,9,84
Public Class,ui.DOMTreeFull,8,9,94
Public Interface,org.apache.xerces.xni.NamespaceContext,2,9,100
Public Interface,org.apache.xerces.xni.XMLLocator,1,9,0
Class,org.apache.xerces.util.AugmentationsImpl.LargeContainer,4,8,25
Class,org.apache.xerces.util.AugmentationsImpl.SmallContainer,5,8,37
Class,ui.TreeView.ErrorStorer,10,8,50
Private Class,org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl.Parser,7,8,52
Private Static Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.XSMVFacetImpl,5,8,75
Private Static Class,org.apache.xerces.impl.xs.XSLoaderImpl.XSGrammarMerger,15,8,0
Protected Static Class,org.apache.xerces.impl.xs.XMLSchemaValidator.ShortVector,1,8,43
Public Abstract Class,org.apache.xerces.dom.ChildNode,1,8,79
Public Abstract Class,org.apache.xerces.impl.dv.SchemaDVFactory,7,8,87
Public Class,dom.DOMAddLines,19,8,75
Public Class,org.apache.xerces.impl.XML11NSDocumentScannerImpl,21,8,65
Public Class,org.apache.xerces.impl.XMLNSDocumentScannerImpl,21,8,65
Public Class,org.apache.xerces.impl.dtd.DTDGrammarBucket,4,8,58
Public Class,org.apache.xerces.impl.dtd.XML11DTDProcessor,10,8,0
Public Class,org.apache.xerces.impl.dv.xs.DurationDV,15,8,87
Public Class,org.apache.xerces.impl.xpath.regex.BMPattern,3,8,25
Public Class,org.apache.xerces.impl.xs.XSNotationDecl,5,8,85
Public Class,org.apache.xerces.impl.xs.models.CMNodeFactory,14,8,75
Public Class,org.apache.xerces.impl.xs.models.XSAllCM,6,8,57
Public Class,org.apache.xerces.jaxp.SAXParserFactoryImpl,13,8,68
Public Class,org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl,8,8,0
Public Class,org.apache.xerces.parsers.XIncludeAwareParserConfiguration,18,8,71
Public Class,org.apache.xerces.util.IntStack,2,8,25
Public Interface,org.apache.wml.WMLAElement,1,8,0
Public Interface,org.apache.wml.WMLGoElement,1,8,0
Public Interface,org.apache.wml.WMLOptionElement,1,8,0
Public Interface,org.apache.wml.WMLTableElement,1,8,0
Public Interface,org.apache.xerces.dom3.as.ASEntityDeclaration,1,8,100
Public Interface,org.apache.xerces.dom3.as.ASNamedObjectMap,3,8,0
Public Interface,org.apache.xerces.impl.dv.XSSimpleType,7,8,100
Public Interface,org.apache.xerces.xpointer.XPointerPart,5,8,100
Public Interface,org.apache.xerces.xs.XSAttributeUse,5,8,0
Static Class,org.apache.xerces.impl.xpath.regex.Token.ClosureToken,2,8,78
Static Class,org.apache.xerces.jaxp.validation.ValidatorHandlerImpl.ResolutionForwarder,11,8,75
Static Class,org.apache.xerces.jaxp.validation.XMLSchemaFactory.XMLGrammarPoolWrapper,3,8,0
Abstract Class,org.apache.xerces.util.AugmentationsImpl.AugmentationsItemsContainer,1,7,0
Class,dom.traversal.IteratorView.Errors,9,7,42
Class,dom.traversal.TreeWalkerView.Errors,9,7,42
Class,org.apache.html.dom.ObjectFactory,19,7,77
Class,org.apache.xerces.dom.ObjectFactory,19,7,77
Class,org.apache.xerces.impl.dv.ObjectFactory,19,7,77
Class,org.apache.xerces.jaxp.validation.ReadOnlyGrammarPool,3,7,57
Class,org.apache.xerces.parsers.ObjectFactory,19,7,77
Class,org.apache.xerces.xinclude.ObjectFactory,19,7,77
Class,org.apache.xml.serialize.ObjectFactory,19,7,77
Class,ui.TreeView.ParseError,1,7,68
Class,xni.ObjectFactory,19,7,77
Private Static Class,org.apache.xerces.impl.dv.xs.DoubleDV.XDouble,5,7,42
Private Static Class,org.apache.xerces.impl.dv.xs.FloatDV.XFloat,5,7,42
Private Static Class,org.apache.xerces.impl.xs.traversers.XSDHandler.XSAnnotationGrammarPool,8,7,64
Protected Class,org.apache.xerces.parsers.AbstractSAXParser.LocatorProxy,2,7,0
Protected Static Class,org.apache.xerces.impl.XMLEntityManager.ExternalEntity,2,7,35
Protected Static Class,org.apache.xerces.impl.XMLEntityManager.InternalEntity,1,7,42
Public Class,dom.traversal.TreeWalkerView,40,7,74
Public Class,jaxp.ParserAPIUsage,16,7,71
Public Class,org.apache.html.dom.HTMLBaseFontElementImpl,2,7,100
Public Class,org.apache.html.dom.HTMLFontElementImpl,2,7,100
Public Class,org.apache.html.dom.HTMLOListElementImpl,2,7,100
Public Class,org.apache.html.dom.HTMLStyleElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLBElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLBigElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLBrElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLEmElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLIElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLOneventElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLSmallElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLStrongElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLTdElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLUElementImpl,2,7,100
Public Class,org.apache.wml.dom.WMLWmlElementImpl,2,7,100
Public Class,org.apache.xerces.dom.ProcessingInstructionImpl,2,7,78
Public Class,org.apache.xerces.impl.Constants,5,7,98
Public Class,org.apache.xerces.impl.dtd.models.DFAContentModel,14,7,73
Public Class,org.apache.xerces.impl.dv.util.Base64,3,7,85
