Fortified,Dry-white,Sweet-white,Red,Rose,Sparkling,Date
4092,3782,120,1538,108,1896,65
3470,2759,118,1513,75,1379,66
3990,2931,281,1378,87,1645,67
4239,3641,344,2083,103,2512,68
2855,2794,366,1357,90,1771,69
2897,3070,362,1536,108,3727,70
3433,3576,580,1526,123,4388,71
3307,4106,523,1376,129,5434,72
1914,2452,348,779,57,1606,73
2214,2206,246,1005,65,1523,74
2320,2488,197,1193,67,1577,75
2714,2416,306,1522,71,1605,76
3633,2534,279,1539,76,1765,77
3295,2521,280,1546,67,1403,78
4377,3093,358,2116,110,2584,79
4442,3903,431,2326,118,3318,80
2774,2907,448,1596,99,1562,81
2840,3025,433,1356,85,2349,82
2828,3812,504,1553,107,3987,83
3758,4209,579,1613,141,5891,84
1610,2138,384,814,58,1389,85
1968,2419,335,1150,65,1442,86
2248,2622,320,1225,70,1548,87
3262,2912,496,1691,86,1935,88
3164,2708,448,1759,93,1518,89
2972,2798,377,1754,74,1250,90
4041,3254,523,2100,87,1847,91
3402,2895,468,2062,73,1930,92
2898,3263,428,2012,101,2638,93
2555,3736,520,1897,100,3114,94
3056,4077,493,1964,96,4405,95
3717,4097,662,2186,157,7242,96
1755,2175,304,966,63,1853,97
2193,3138,308,1549,115,1779,98
2198,2823,313,1538,70,2108,99
2777,2498,328,1612,66,2336,100
3076,2822,354,2078,67,1728,101
3389,2738,338,2137,83,1661,102
4231,4137,483,2907,79,2230,103
3118,3515,355,2249,77,1645,104
2524,3785,439,1883,102,2421,105
2280,3632,290,1739,116,3740,106
2862,4504,352,1828,100,4988,107
3502,4451,454,1868,135,6757,108
1558,2550,306,1138,71,1757,109
1940,2867,303,1430,60,1394,110
2226,3458,344,1809,89,1982,111
2676,2961,254,1763,74,1650,112
3145,3163,309,2200,73,1654,113
3224,2880,310,2067,91,1406,114
4117,3331,379,2503,86,1971,115
3446,3062,294,2141,74,1968,116
2482,3534,356,2103,87,2608,117
2349,3622,318,1972,87,3845,118
2986,4464,405,2181,109,4514,119
3163,5411,545,2344,137,6694,120
1651,2564,268,970,43,1720,121
1725,2820,243,1199,69,1321,122
2622,3508,273,1718,73,1859,123
2316,3088,273,1683,77,1628,124
2976,3299,236,2025,69,1615,125
3263,2939,222,2051,76,1457,126
3951,3320,302,2439,78,1899,127
2917,3418,285,2353,70,1605,128
2380,3604,309,2230,83,2424,129
2458,3495,322,1852,65,3116,130
2883,4163,362,2147,110,4286,131
2579,4882,471,2286,132,6047,132
1330,2211,198,1007,54,1902,133
1686,3260,253,1665,55,2049,134
2457,2992,173,1642,66,1874,135
2514,2425,186,1518,65,1279,136
2834,2707,185,1831,60,1432,137
2757,3244,105,2207,65,1540,138
3425,3965,228,2822,96,2214,139
3006,3315,214,2393,55,1857,140
2369,3333,189,2306,71,2408,141
2017,3583,270,1785,63,3252,142
2507,4021,277,2047,74,3627,143
3168,4904,378,2171,106,6153,144
1545,2252,185,1212,34,1577,145
1643,2952,182,1335,47,1667,146
2112,3573,258,2011,56,1993,147
2415,3048,179,1860,53,1997,148
2862,3059,197,1954,53,1783,149
2822,2731,168,2152,55,1625,150
3260,3563,250,2835,67,2076,151
2606,3092,211,2224,52,1773,152
2264,3478,260,2182,46,2377,153
2250,3478,234,1992,51,3088,154
2545,4308,305,2389,58,4096,155
2856,5029,347,2724,91,6119,156
1208,2075,203,891,33,1494,157
1412,3264,217,1247,40,1564,158
1964,3308,227,2017,46,1898,159
2018,3688,242,2257,45,2121,160
2329,3136,185,2255,41,1831,161
2660,2824,175,2255,55,1515,162
2923,3644,252,3057,57,2048,163
2626,4694,319,3330,54,2795,164
2132,2914,202,1896,46,1749,165
1772,3686,254,2096,52,3339,166
2526,4358,336,2374,48,4227,167
2755,5587,431,2535,77,6410,168
1154,2265,150,1041,30,1197,169
1568,3685,280,1728,35,1968,170
1965,3754,187,2201,42,1720,171
2659,3708,279,2455,48,1725,172
2354,3210,193,2204,44,1674,173
2592,3517,227,2660,45,1693,174
2714,3905,225,3670,?,2031,175
2294,3670,205,2665,?,1495,176
2416,4221,259,2639,46,2968,177
2016,4404,254,2226,51,3385,178
2799,5086,275,2586,63,3729,179
2467,5725,394,2684,84,5999,180
1153,2367,159,1185,30,1070,181
1482,3819,230,1749,39,1402,182
1818,4067,188,2459,45,1897,183
2262,4022,195,2618,52,1862,184
2612,3937,189,2585,28,1670,185
2967,4365,220,3310,40,1688,186
3179,4290,274,3923,62,2031,187
